,waged_workers,life_expectancy,employment_ratio,binding_coverage,tech,expense,health_expenditure,gdp
0,,54.427,,,,,,
1,,54.852,,,,,,
2,,55.272,,,,,,
3,,55.675,,,,,,
4,,56.043,,,,,,
5,,56.354,,,,,,
6,,56.604,,,,,,
7,,56.8,,,,,,
8,,56.954,,,,,,
9,,57.108,,,,,,
10,,57.314,,,,,,
11,,57.602,,,,,,
12,,57.975,,,,,,
13,,58.413,,,,,,
14,,58.847,,,,,,
15,,59.183,,,,,,
16,,59.355,,,,,,
17,,59.335,,,,,,
18,,59.138,,,,,,
19,,58.824,,,2.70301530205068,,,497.632026083843
20,55.0740013122559,58.48,41.2400016784668,,2.70301530205068,,,469.337925450253
21,53.9469985961914,58.212,41.2159996032715,,2.70301530205068,,,346.978413935277
22,53.4729995727539,58.104,39.5540008544922,,2.70302591663816,,,294.403880723844
23,53.2379989624023,58.192,38.5110015869141,,2.70301526456838,,,268.000295764389
24,53.1520004272461,58.497,37.9129981994629,,2.70301460526683,,,213.635340168207
25,53.2859992980957,59.003,36.6160011291504,,2.70301453204137,,,178.361221005225
26,53.1450004577637,59.65,36.4210014343262,,2.70301462572388,,,155.188491611739
27,52.9630012512207,60.379,35.3349990844727,,2.70301495520005,9.56471276699503,,219.040499942149
28,52.8400001525879,61.161,35.810001373291,,2.70301513406698,7.8653531598513,,177.559715711364
29,52.7280006408691,61.974,35.9990005493164,,2.70301513406698,6.93300498125035,4.26492453,138.428879512683
30,52.689998626709,62.807,36.1520004272461,,2.70301501638375,7.35759419611514,4.57802582,171.047983362588
31,52.6949996948242,63.653,36.2400016784668,,2.70301497604218,,4.43647242,190.00250025609
32,52.7550010681152,64.496,36.3779983520508,,2.70301501821128,9.54775906246062,4.70218658,237.75744423262
33,52.8699989318848,65.314,36.625,,2.70301503939721,12.07795956091,4.79911184,311.627324802736
34,53.0279998779297,66.08,36.867000579834,,2.52761866264729,,5.21024704,340.583032738899
35,53.2109985351563,66.771,37.2430000305176,,3.27905219563449,,5.03254795,408.838590699258
36,53.4259986877441,67.382,37.6370010375977,,1.26102078346848,,5.54050112,526.642915434768
37,53.6720008850098,67.911,37.992000579834,,2.61188280658104,,5.91206694,715.86511053556
38,53.8940010070801,68.36,38.1650009155273,,2.61188279023661,,5.85579777,676.12341925805
39,54.148998260498,68.736,38.0429992675781,99.96,3.65088145858569,,5.73543406,749.552711015842
40,54.4410018920898,69.055,37.9259986877441,,3.65050419992788,,5.85971832,847.382101810518
41,54.7459983825684,69.34,37.773998260498,99.98,2.9457556017271,,5.98185873,969.296473144289
42,55.0610008239746,69.609,37.5950012207031,99.98,2.49363519513792,,6.53226376,1048.22729256115
43,55.3800010681152,69.874,37.4580001831055,99.98,1.86185764156824,,6.6654973,1104.17168941376
44,55.689998626709,70.137,37.2980003356934,99.98,2.19160496544026,,6.9073596,929.095857223746
45,56.023998260498,70.397,37.1069984436035,99.98,2.84578320764844,,7.00427723,802.518004052824
46,56.390998840332,70.647,37.193000793457,99.98,2.808658359741,,7.2288146,806.041573098044
47,56.7569999694824,70.879,37.2719993591309,,2.79530501803291,,7.2394805,826.621530538704
48,57.0839996337891,,37.390998840332,,,,,870.787589323223
