"life_expectancy","health_expenditure","waged_workers","gdp","employment_ratio","expense","country"
71.1073170731707,NA,NA,5609.38259952519,56.5999984741211,NA,"USA"
71.1560975609756,NA,NA,6094.01798986165,57,NA,"USA"
71.3560975609756,NA,NA,6726.35895596695,57.7999992370605,NA,"USA"
71.9560975609756,NA,NA,7225.69135952566,57.7999992370605,NA,"USA"
72.6048780487805,NA,NA,7801.45666356443,56.0999984741211,NA,"USA"
72.8560975609756,NA,NA,8592.25353727612,56.7999992370605,NA,"USA"
73.2560975609756,NA,NA,9452.57651914511,57.9000015258789,NA,"USA"
73.3560975609756,NA,NA,10564.9482220275,59.2999992370605,NA,"USA"
73.8048780487805,NA,NA,11674.1863100131,59.9000015258789,NA,"USA"
73.609756097561,NA,NA,12574.7915062163,59.2000007629395,NA,"USA"
74.009756097561,NA,NA,13976.1097504641,59,NA,"USA"
74.3609756097561,NA,NA,14433.787727053,57.7999992370605,NA,"USA"
74.4634146341463,NA,NA,15543.8937174925,57.9000015258789,NA,"USA"
74.5634146341464,NA,NA,17121.2254849995,59.5,NA,"USA"
74.5634146341464,NA,NA,18236.8277265009,60.0999984741211,NA,"USA"
74.6146341463415,NA,NA,19071.2271949295,60.7000007629395,NA,"USA"
74.7658536585366,NA,NA,20038.9410992658,61.5,NA,"USA"
74.7658536585366,NA,NA,21417.0119305191,62.2999992370605,NA,"USA"
75.0170731707317,NA,NA,22857.1544330056,63,14.6616727937918,"USA"
75.2146341463415,NA,NA,23888.6000088133,62.7999992370605,15.2768405391518,"USA"
75.3658536585366,NA,90.9820022583008,24342.2589048189,61.7000007629395,16.2383737008432,"USA"
75.6170731707317,NA,91.3030014038086,25418.9907763319,61.5,14.8606043837985,"USA"
75.419512195122,NA,91.181999206543,26387.2937338171,61.7000007629395,14.5392056844594,"USA"
75.619512195122,NA,91.1999969482422,27694.853416234,62.5791015625,13.8186824195072,"USA"
75.6219512195122,NA,91.443000793457,28690.8757013347,62.9477005004883,13.5452094041309,"USA"
76.0268292682927,NA,91.556999206543,29967.7127181749,63.2224998474121,12.9907611949875,"USA"
76.4292682926829,NA,91.7249984741211,31459.1389804773,63.8437004089355,12.4845607844096,"USA"
76.5804878048781,NA,92.0550003051758,32853.6769523009,64.059700012207,12.0308051612398,"USA"
76.5829268292683,NA,92.3430023193359,34513.5615037271,64.2531967163086,11.7169488659532,"USA"
76.6365853658537,12.54207516,92.4349975585938,36334.9087770589,64.3958969116211,11.6941045754835,"USA"
76.8365853658537,13.2191925,92.5189971923828,37133.2428088526,63.6626014709473,12.2116935381476,"USA"
76.9365853658537,14.00746441,92.6389999389648,38023.1611144021,62.7318000793457,12.4148333498926,"USA"
77.0365853658537,14.52157784,92.4329986572266,39496.4858751381,62.2765007019043,13.0150258266304,"USA"
77.4878048780488,14.60988235,92.4260025024414,41712.8010675545,62.345100402832,12.976493754893,"USA"
77.4878048780488,14.60567665,92.5299987792969,44114.7477810544,62.6893997192383,13.3271546145905,"USA"
77.6878048780488,14.70215797,92.5979995727539,46298.7314440927,63.119701385498,12.8528645995833,"USA"
77.9878048780488,14.91858959,92.7799987792969,47975.9676958038,62.9872016906738,13.0309951462066,"USA"
78.0390243902439,15.28626251,92.9820022583008,48382.5584490552,62.1769981384277,14.5649446685185,"USA"
78.390243902439,16.28372383,92.9069976806641,47099.9804711343,59.3202018737793,15.940568732756,"USA"
78.5414634146342,16.34537888,92.9550018310547,48467.5157769259,58.4720993041992,16.4449888543939,"USA"
78.6414634146341,16.29982948,93.1800003051758,49886.8181094923,58.371898651123,15.969055483077,"USA"
78.7414634146342,16.28528976,93.2470016479492,51610.6052783379,58.5606994628906,14.6235119177509,"USA"
78.7414634146342,16.21042252,93.4049987792969,53117.6678498178,58.584300994873,13.7748339171912,"USA"
78.8414634146341,16.40644836,93.5540008544922,55064.7445483427,59.0068016052246,13.6465160115001,"USA"
78.690243902439,16.71075249,93.5559997558594,56839.3817742317,59.3432998657227,13.3512925162149,"USA"
78.5390243902439,17.04898262,93.6129989624023,57951.5840820997,59.7291984558105,13.4131044246822,"USA"
78.5390243902439,17.00361443,93.7480010986328,60062.2223132211,60.1137008666992,13.1971787624084,"USA"
78.5390243902439,16.88529778,93.7190017700195,62996.4712852605,60.421501159668,13.2690165174741,"USA"
NA,NA,93.7819976806641,65297.517508274,60.7844009399414,13.4267566627628,"USA"
NA,NA,93.8430023193359,NA,NA,NA,"USA"
72.8829268292683,NA,NA,2272.07780221047,NA,NA,"Japan"
73.5065853658537,NA,NA,2967.0419962342,NA,11.0093158732875,"Japan"
73.7575609756097,NA,NA,3997.84112039081,NA,11.1382178461636,"Japan"
74.3939024390244,NA,NA,4353.82435516245,NA,12.4740916560509,"Japan"
75.0573170731707,NA,NA,4659.12011500135,NA,13.0773156179863,"Japan"
75.4568292682927,NA,NA,5197.80669675423,NA,13.7250801345864,"Japan"
75.8982926829268,NA,NA,6335.78762668131,NA,14.3604018268762,"Japan"
76.0382926829268,NA,NA,8821.84349178264,NA,15.3567919796245,"Japan"
76.3375609756098,NA,NA,9105.13609671468,NA,16.0673642685131,"Japan"
76.0917073170732,NA,NA,9465.3797140302,NA,16.5478955346018,"Japan"
76.4143902439025,NA,NA,10361.3230580189,NA,16.7410195338553,"Japan"
76.9229268292683,NA,NA,9578.11380327871,NA,16.6963925515426,"Japan"
