,waged_workers,life_expectancy,employment_ratio,binding_coverage,tech,expense,health_expenditure,gdp
0,,70.1826341463415,,,,,,
1,,70.0908536585366,,,,,,
2,,69.9629268292683,,,,,,
3,,69.8088536585366,,,,,,
4,,69.6346341463415,,,,,,
5,,69.4461707317073,,,,,,
6,,69.2534390243902,,,,,,
7,,69.0709024390244,,,,,,
8,,68.9151219512195,,,,,,
9,,68.8178292682927,,,,,,
10,,68.8108292682927,,,,,,
11,,68.901243902439,,,,,,
12,,69.0774878048781,,,,,,
13,,69.3173414634146,,,,,,
14,,69.5747804878049,,,,,,
15,,69.791243902439,,,,,,
16,,70.4951219512195,,,,,,1249.44327760578
17,,70.4975609756098,,,,,,1449.96249883861
18,,70.5390243902439,,,,,,1597.53464352316
19,,70.0975609756098,,,20.9457791673523,,,1569.75758369404
20,81.3410034179688,69.2980487804878,58.9930000305176,,20.9457791673523,,,1489.68877509851
21,81.3010025024414,68.7709756097561,58.7379989624023,,20.9457791673523,,,1417.86516173293
22,81.2890014648438,68.1307317073171,58.4900016784668,,21.3361606222918,,,1258.1365736358
23,81.1949996948242,67.5412195121951,58.5320014953613,,21.8944497365451,,,1012.09819360028
24,81.1529998779297,66.7419512195122,56.4389991760254,,21.9434790015134,,,935.95898840846
25,81.1230010986328,67.0224390243903,54.5439987182617,,19.9621271581658,,,872.69874195784
26,81.1159973144531,67.5763414634146,52.9970016479492,,19.9233021196539,,,991.220402802809
27,81.1100006103516,68.3748780487805,50.7750015258789,,21.3917384587854,,,835.250954177158
28,81.109001159668,67.9809756097561,49.5639991760254,,20.5696947283486,16.0375489605333,,635.757922564199
29,81.1360015869141,67.6756097560976,50.3050003051758,,23.3441932281713,19.5094960898454,5.30685234,635.700535075575
30,81.1809997558594,67.8370731707317,49.7820014953613,,33.0085737272421,18.5346412341721,5.72534418,780.321178870619
31,81.213996887207,68.2756097560976,50.0929985046387,,33.142479785074,18.2883639593954,5.99220037,878.618748941345
32,81.2580032348633,68.2107317073171,50.4860000610352,,32.9782083618366,19.3258557873178,6.54574108,1047.50279047739
33,81.3150024414063,68.1853658536585,50.4990005493164,,33.4788768339467,21.4179061187554,6.16856956,1366.01647647823
34,81.3550033569336,67.9568292682927,51.1459999084473,,33.1244063494518,24.6917040231644,6.3461585,1826.93139114817
35,81.3990020751953,68.0775609756098,51.2190017700195,,33.153242351366,24.3925374616921,6.41695166,2300.76970925872
36,81.4489974975586,68.2221951219512,51.3889999389648,99.96,33.1514720189829,23.1185774977883,6.01705217,3065.61129390842
37,81.4980010986328,68.2514634146342,51.3629989624023,99.96,32.9233624437654,24.5270084074959,5.49728012,3887.24233680525
38,81.5179977416992,69.19,50.0820007324219,99.96,32.9096489136527,26.0799996492974,6.60771894,2542.99542417522
39,81.0910034179688,70.2653658536586,50.5460014343262,99.96,32.7358848841643,27.576208185327,6.81229019,2965.13971520617
40,80.7320022583008,70.8092682926829,50.9189987182617,99.98,32.7857825485533,25.0490580319402,6.81617165,3569.75812083898
41,81.2300033569336,70.9441463414634,50.8300018310547,99.98,34.9699300682267,27.4906757392667,7.11666059,3855.41772856732
42,80.8769989013672,71.159512195122,51.640998840332,99.98,41.9768937975321,27.0497229725948,6.94156218,4029.71125162545
43,84.1330032348633,71.1865853658537,49.3699989318848,100,31.145101728751,26.8217390345419,7.18960381,3104.64320609541
44,84.068000793457,71.189512195122,49.7379989624023,100,30.6930721773262,27.6835865839529,7.77607775,2124.6623187838
45,84.3629989624023,71.4763414634146,49.4360008239746,100,29.8988508052362,27.9136292235115,7.54541159,2187.73050991433
46,84.2880020141602,71.7809756097561,49.306999206543,100,27.4030953610391,27.3891293288407,7.43332434,2640.67567655839
47,84.1719970703125,71.5826829268293,49.6030006408691,100,26.7068891256074,26.6513245182085,7.72391653,3096.81740221352
48,84.2590026855469,,49.3409996032715,,,26.1313215738884,,3659.03131229487
