,waged_workers,life_expectancy,employment_ratio,binding_coverage,tech,expense,health_expenditure,gdp
0,,72.8829268292683,,,,,,2272.07780221047
1,,73.5065853658537,,,,11.0093158732875,,2967.0419962342
2,,73.7575609756097,,,,11.1382178461636,,3997.84112039081
3,,74.3939024390244,,,,12.4740916560509,,4353.82435516245
4,,75.0573170731707,,,,13.0773156179863,,4659.12011500135
5,,75.4568292682927,,,,13.7250801345864,,5197.80669675423
6,,75.8982926829268,,,,14.3604018268762,,6335.78762668131
7,,76.0382926829268,,,,15.3567919796245,,8821.84349178264
8,,76.3375609756098,,,,16.0673642685131,,9105.13609671468
9,,76.0917073170732,,,,16.5478955346018,,9465.3797140302
10,,76.4143902439025,,,,16.7410195338553,,10361.3230580189
11,,76.9229268292683,,,,16.6963925515426,,9578.11380327871
12,,76.9614634146342,,,,16.6950047053222,,10425.4068209429
13,,77.3653658536585,,,,16.1279763739069,,10984.8658284904
14,,77.650487804878,,,,15.734552843092,,11584.6493269017
15,,78.0646341463415,,,,15.4113890087708,,17111.8537325384
16,,78.4836585365854,,,,15.0139583789991,,20745.2520919399
17,,78.3992682926829,,,,14.5711299675288,,25051.8543154389
18,,78.8180487804878,,,,15.0148504256774,,24813.2993783357
19,,78.8368292682927,,,50.8728179551122,14.0808648867911,,25359.34702031
20,78.5370025634766,79.1007317073171,62.5810012817383,,50.5690523090392,,,28925.0415756881
21,79.5370025634766,79.1539024390244,62.7939987182617,,49.3286346525205,,,31464.549046228
22,80.6510009765625,79.2936585365854,62.4379997253418,,48.7978038621734,,,35765.9140886748
23,81.140998840332,79.6870731707317,61.9720001220703,,48.5994871612237,15.2392930780677,,39268.5668686204
24,81.5080032348633,79.5363414634147,61.5839996337891,99.64,49.9035605776124,15.2247319583948,,43440.3678678967
25,82.0540008544922,80.200243902439,61.5340003967285,99.65,50.6137232544101,15.1676024030875,,38436.9263119118
26,82.2170028686523,80.4241463414634,61.7130012512207,99.65,51.3927134965537,14.6325746406624,,35021.7190917159
27,82.4069976806641,80.5014634146342,60.9529991149902,99.65,51.121008863791,20.3949632954198,,31902.7670955137
28,82.4980010986328,80.5707317073171,60.0820007324219,99.65,50.9649895664271,17.5419963906601,,36026.5560750168
29,83.0899963378906,81.0760975609756,59.6469993591309,99.65,52.0152801974448,17.3424073391987,7.15091324,38532.0408752935
30,83.734001159668,81.4170731707317,59.1290016174316,99.65,51.3609822699499,16.4687718090649,7.35919762,33846.4656414342
31,84.2180023193359,81.5634146341463,58.226001739502,99.64,53.4649095798181,16.3622593007332,7.47336435,32289.3505360726
32,84.4680023193359,81.76,57.9300003051758,99.66,54.3420292206146,15.9774133019222,7.61100292,34808.3909176613
33,84.6110000610352,82.030243902439,57.8600006103516,99.66,54.6858989516828,15.3408652474809,7.65719414,37688.7223359406
34,84.8489990234375,81.9251219512195,57.9440002441406,99.66,55.0208679522356,15.3154696672294,7.78066874,37217.648727917
35,85.7409973144531,82.3219512195122,58.0530014038086,99.66,56.0207866578661,15.077559450478,7.80784273,35433.988963743
36,86.1350021362305,82.5070731707317,58.3359985351563,99.62,56.8181608962616,14.1741908133376,7.89046049,35275.2284312667
37,86.5149993896484,82.5875609756098,58.1590003967285,99.62,55.6398041994075,15.4661939326969,8.19951439,39339.2975731826
38,86.9150009155273,82.9314634146342,57.2919998168945,99.62,53.5678307553341,18.4049675077273,9.0582962,40855.1756354596
39,87.3099975585938,82.8426829268293,57.0110015869141,99.62,55.6446924660452,17.3994646589144,9.15677357,44507.6763859172
40,87.7360000610352,82.5912195121951,56.898998260498,99.6,54.4782314262621,18.8211030130736,10.61671734,48167.9972684965
41,88.2080001831055,83.0960975609756,56.7309989929199,99.65,55.0050246411578,18.3381714620981,10.79065323,48603.4766497749
42,88.4739990234375,83.3319512195122,57.2270011901855,99.65,55.3372312170038,18.3424434730142,10.79159355,40454.4474578903
43,88.5940017700195,83.5878048780488,57.6650009155273,99.63,56.2087031253911,17.7724781853988,10.83204937,38109.4121125573
44,88.9369964599609,83.7939024390244,57.9490013122559,99.63,56.7707415600491,17.1677020129873,10.88550663,34524.4698609337
45,89.4199981689453,83.9848780487805,58.5730018615723,99.63,56.5702316735256,16.9507552416527,10.83460999,38761.8181501925
46,89.5810012817383,84.099756097561,59.1689987182617,99.65,56.5702316740512,16.4111058231822,10.79634285,38386.5111457057
47,89.713996887207,84.2109756097561,60.3969993591309,99.65,56.5702316739148,16.3412964667156,10.95338821,39159.4235633952
48,89.7900009155273,,60.3120002746582,,,,,40246.8801284164
