,waged_workers,life_expectancy,employment_ratio,binding_coverage,tech,expense,health_expenditure,gdp
0,,46.508,,,,,,76.2636367496556
1,,47.019,,,,,,76.9018955076889
2,,47.559,,,,,,94.9045719077994
3,,48.119,,,,,,112.996156851616
4,,48.683,,,,,,133.750064038683
5,,49.232,,,,,,169.310921883523
6,,49.746,,,,,,178.860839656262
7,,50.215,,,,,,180.27323738129
8,,50.635,,,,,,195.754238035777
9,,51.009,,,,,,245.216653822238
10,,51.347,,,,,,256.245663275115
11,,51.668,,,,,,249.432043811515
12,,51.987,,,,,,268.291707578563
13,,52.309,,,,,,293.18672597986
14,,52.637,,,,,,317.076445972897
15,,52.97,,,,,,357.79660883523
16,,53.302,,,,,,309.303396535657
17,,53.628,,,,,,386.777234193071
18,,53.949,,,,,,396.686139185866
19,,54.265,,,13.638856516076,,,439.944062994775
20,20.011999130249,54.58,62.4869995117188,,11.5136628799509,,,483.873905037789
21,19.8810005187988,54.894,62.1749992370605,,11.2768279374318,,,308.371313176134
22,20.0370006561279,55.209,61.7910003662109,,10.5180069067588,,,251.752718957926
23,19.8309993743896,55.523,61.4049987792969,,9.80730299167729,,,285.118778837802
24,21.0249996185303,55.829,60.9809989929199,,5.00826570483919,,,363.265825942713
25,21.6100006103516,56.121,60.5439987182617,,4.48173946108509,,,368.632237698082
26,21.5419998168945,56.393,60.0789985656738,,5.25965650668658,,,415.770483268566
27,21.8980007171631,56.648,59.5970001220703,,5.25965650668658,,,455.541896058048
28,21.9729995727539,56.891,59.1180000305176,,5.25965650668658,,,499.303748903539
29,21.9150009155273,57.131,58.0769996643066,,5.25965650668658,,6.87873936,811.533974153575
30,22.3320007324219,57.382,57.4879989624023,89.73,5.25965650668658,,6.60283327,739.347418009413
31,22.8449993133545,57.655,56.867000579834,89.73,5.25965650668658,,5.98888016,697.596903584728
32,23.3579998016357,57.959,56.2779998779297,,5.25965650668658,,5.76704884,561.817943775454
33,23.6340007781982,58.292,55.7220001220703,,5.25965650668658,,5.85191727,663.794696310454
34,24.0340003967285,58.652,55.1580009460449,,5.25965650668658,,5.50935555,766.692058904414
35,24.2089996337891,59.028,54.5610008239746,,5.25965650668658,,5.5010376,792.825925811049
36,24.5750007629395,59.408,53.9449996948242,89.45,5.25965650668658,,5.90158033,981.111341194924
37,24.738000869751,59.782,54.576000213623,89.45,5.25965650668658,,6.01590109,1076.70133123339
38,25.0669994354248,60.148,54.8330001831055,89.01,5.25965650668658,,6.16915989,1150.21108892273
39,24.3229999542236,60.511,55.226001739502,89.01,5.25965650668658,,8.14559841,1172.09854332066
40,25.3999996185303,60.879,55.8969993591309,89.01,5.25965650668658,,10.2313633,1287.95405805707
41,25.4130001068115,61.26,56.507999420166,89.01,5.25965650668658,,9.66829586,1337.33543100854
42,25.7189998626709,61.658,56.7130012512207,89.01,5.25965650668658,,7.23788214,1393.95595098815
43,25.988000869751,62.069,56.9720001220703,89.01,5.25965650668658,,7.79763603,1402.1001557234
44,26.3889999389648,62.485,57.1769981384277,89.27,5.25965650668658,,8.62852955,1389.11951950807
45,26.5279998779297,62.896,57.3959999084473,88.08,5.25965650668658,,8.43686771,1265.98763288491
46,26.6420001983643,63.29,57.6469993591309,,5.25965650668658,,8.08468342,1294.23974604323
47,26.8819999694824,63.66,57.8950004577637,,5.25965650668658,,7.69460344,1435.35175551073
48,27.0650005340576,,57.9259986877441,,,,,1272.4909246734
